date,equity,index,futures,total,
1/31/2019,"21,844,468","2,214,703","266,039","24,325,210",
1/30/2019,"20,633,599","1,677,794","242,661","22,554,054",
1/29/2019,"13,585,775","897,261","267,734","14,750,770",
1/28/2019,"15,138,902","1,532,884","281,334","16,953,120",
1/25/2019,"20,704,591","1,613,532","269,910","22,588,033",
1/24/2019,"14,983,671","1,193,348","266,557","16,443,576",
1/23/2019,"15,689,116","1,591,035","303,422","17,583,573",
1/22/2019,"18,114,972","1,863,937","359,576","20,338,485",
1/18/2019,"24,429,367","2,901,873","239,633","27,570,873",
1/17/2019,"18,572,961","1,794,358","253,922","20,621,241",
1/16/2019,"19,080,690","2,462,125","407,581","21,950,396",
1/15/2019,"16,127,498","2,271,998","346,082","18,745,578",
1/14/2019,"14,905,324","1,487,791","419,950","16,813,065",
1/11/2019,"17,035,249","2,252,975","257,520","19,545,744",
1/10/2019,"16,100,103","1,873,832","266,101","18,240,036",
1/9/2019,"19,286,169","2,006,751","263,607","21,556,527",
1/8/2019,"16,864,197","2,285,669","290,227","19,440,093",
1/7/2019,"17,021,592","1,964,202","277,995","19,263,789",
1/4/2019,"22,811,186","2,572,553","380,593","25,764,332",
1/3/2019,"16,868,670","1,998,646","349,645","19,216,961",
1/2/2019,"15,424,859","2,594,725","325,900","18,345,484",
